City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,haiku-pauwela,20.9219,-156.3051,78.82,68,40,18.01,US,1732324880
83,cuamba,-14.8031,36.5372,70.23,83,36,2.89,MZ,1732324881
84,waitangi,-43.9535,-176.5597,54.82,75,29,13.0,NZ,1732324883
85,la passe,45.5549,-0.8967,44.06,80,66,12.91,FR,1732324884
86,baker,30.5882,-91.1682,55.81,70,0,6.91,US,1732324887
87,pisco,-13.7,-76.2167,66.25,88,0,13.8,PE,1732324733
88,aasiaat,68.7098,-52.8699,3.29,82,80,11.59,GL,1732324889
89,saldanha,-33.0117,17.9442,53.65,88,94,4.81,ZA,1732324599
90,praia da vitoria,38.7333,-27.0667,68.25,83,75,18.05,PT,1732324892
91,blackmans bay,-43.0167,147.3167,77.13,60,100,5.66,AU,1732324893
92,mhamid,29.82,-5.72,67.77,29,0,7.27,MA,1732324894
93,albany,42.6001,-73.9662,34.63,94,100,4.03,US,1732324817
94,qujing,25.4833,103.7833,49.84,84,99,8.25,CN,1732324897
95,vetluzhskiy,58.3902,45.4654,30.54,78,100,9.46,RU,1732324898
96,constantia,44.1833,28.65,41.7,79,100,32.19,RO,1732324811
97,port mathurin,-19.6833,63.4167,76.32,79,21,17.54,MU,1732324901
98,tralee,52.2704,-9.7026,48.31,91,100,29.57,IE,1732324902
99,fort bragg,35.139,-79.006,44.91,53,0,6.91,US,1732324777
100,tapiramuta,-11.8472,-40.7914,73.62,63,100,3.09,BR,1732324905
101,aykhal,66.0,111.5,-3.68,97,100,10.56,RU,1732324907
102,qaqortoq,60.7167,-46.0333,12.16,63,13,8.46,GL,1732324908
103,ta`u,-14.2336,-169.5144,80.94,82,100,19.86,AS,1732324910
104,zhicheng,30.2956,111.5047,52.23,68,100,2.37,CN,1732324911
105,queenstown,-31.8976,26.8753,64.4,80,99,4.72,ZA,1732324815
106,varadero,23.1536,-81.2514,70.56,68,31,13.53,CU,1732324915
107,kalemie,-5.9475,29.1947,69.58,89,88,3.6,CD,1732324917
108,manakara,-22.1333,48.0167,71.13,94,73,4.61,MG,1732324919
109,sitka,57.0531,-135.33,40.89,38,0,4.61,US,1732324853
110,sinabang,2.4803,96.3801,77.04,94,100,5.7,ID,1732324694
111,atafu village,-8.5421,-172.5159,83.97,73,27,16.42,TK,1732324923
112,vorgashor,67.5833,63.95,15.19,90,81,10.58,RU,1732324924
113,buncrana,55.1333,-7.45,36.66,86,100,15.17,IE,1732324925
114,newman,37.3138,-121.0208,62.06,63,100,3.0,US,1732324927
115,dharchula,29.85,80.5333,39.09,47,3,5.53,IN,1732324928
116,magadan,59.5667,150.8,18.48,79,20,4.92,RU,1732324930
117,uturoa,-16.7333,-151.4333,79.56,82,8,12.28,PF,1732324932
118,chonchi,-42.6128,-73.8092,55.11,87,98,3.96,CL,1732324933
119,castillos,-34.1667,-53.8333,62.96,87,0,8.01,UY,1732324935
120,vuktyl,63.8567,57.3094,33.73,94,100,21.03,RU,1732324936
121,vilyuchinsk,52.9306,158.4028,28.67,77,14,5.3,RU,1732324938
122,ribeira grande,38.5167,-28.7,69.78,92,100,23.0,PT,1732324940
123,plastun,44.7561,136.2939,28.17,48,0,10.04,RU,1732324941
124,enewetak,11.3474,162.3373,83.14,80,6,19.55,MH,1732324943
125,acapulco de juarez,16.8634,-99.8901,84.02,79,75,3.44,MX,1732324944
126,puerto cabezas,14.0351,-83.3888,75.04,78,95,10.58,NI,1732324945
127,ardakan,32.31,54.0175,52.65,42,6,4.05,IR,1732324947
128,ramnagar,29.4,79.1167,56.05,60,1,4.76,IN,1732324948
129,akureyri,65.6835,-18.0878,28.33,86,100,3.44,IS,1732324949
130,cockburn town,21.4612,-71.1419,80.29,76,16,10.69,TC,1732324952
131,nar'yan-mar,67.6713,53.087,31.78,97,100,18.7,RU,1732324953
132,jinchang,38.4953,102.1739,33.69,50,100,1.1,CN,1732324690
133,kimbe,-5.5502,150.1429,80.29,85,100,2.84,PG,1732324956
134,iquique,-20.2208,-70.1431,64.99,86,96,5.26,CL,1732324719
135,walvis bay,-22.9575,14.5053,59.95,88,0,5.75,NA,1732324958
136,visaginas,55.6,26.4167,26.76,89,6,3.89,LT,1732324959
137,high river,50.5834,-113.8687,12.31,96,100,8.59,CA,1732324961
138,quellon,-43.1167,-73.6167,53.26,85,100,6.98,CL,1732324962
139,la ceiba,15.7597,-86.7822,71.42,94,75,0.0,HN,1732324839
140,st. john's,47.5649,-52.7093,41.14,98,100,12.66,CA,1732324760
141,santa fe de antioquia,6.5569,-75.8281,72.66,96,100,0.6,CO,1732324967
142,nyandoma,61.669,40.1991,29.05,86,100,12.8,RU,1732324969
